Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-443.5,-9.42
-440.4,-8.91
-441.4,-9.07
-440.4,-8.90
-446.3,-9.87
-440.5,-8.92
-449.3,-10.36
-442.2,-9.19
-431.9,-7.50
-436.8,-8.30
-440.3,-8.88
-438,-8.50
-429.3,-7.07
-435.7,-8.12
-428.3,-6.90
-437.4,-8.40
-438.9,-8.64
-436.9,-8.31
-439.9,-8.81
-436.2,-8.20
-437.3,-8.38
-433.7,-7.78
-441.2,-9.02
-434.7,-7.95
-435.6,-8.09
-442.1,-9.16
-445.8,-9.77
-443.9,-9.46
-443,-9.31
-446.5,-9.88
-442.6,-9.24
-438.7,-8.59
-442.7,-9.25
-439.6,-8.74
-436.2,-8.18
-435.3,-8.03
-434.7,-7.93
-432.3,-7.53
-435.5,-8.06
-433.7,-7.76
-432,-7.48
-437,-8.30
-435.5,-8.06
-438,-8.47
-436,-8.14
-435.9,-8.12
-433.5,-7.72
-443.2,-9.32
-435.8,-8.10
-439.9,-8.77
-444.5,-9.53
-444.5,-9.53
-444.5,-9.53
-444.5,-9.52
-444.5,-9.52
-442.3,-9.16
-438.5,-8.53
-442.1,-9.12
-441.2,-8.97
-444.9,-9.58
-441.9,-9.08
-436.5,-8.19
-435.5,-8.03
-438.7,-8.55
-431.6,-7.39
-437.4,-8.34
-433.8,-7.75
-433.4,-7.68
-438.3,-8.48
-431.4,-7.35
-431.7,-7.40
-437.6,-8.37
-435.6,-8.04
-433.5,-7.69
-429.5,-7.03
-433.5,-7.69
-437.9,-8.41
-433.7,-7.72
-429.9,-7.09
-432.5,-7.52
-436.5,-8.18
-436.9,-8.24
-435.8,-8.06
-428.2,-6.81
-438.6,-8.52
-439.5,-8.67
-434.3,-7.81
-433.1,-7.61
-434.8,-7.89
-439.6,-8.68
-436.6,-8.18
-443,-9.24
-435.3,-7.97
-435.6,-8.02
-436,-8.08
-435.8,-8.05
-442,-9.07
-439.7,-8.69
-438.8,-8.54
-437.5,-8.32
-434.6,-7.84
-434.6,-7.84
-436.1,-8.09
-436.8,-8.20
-435.9,-8.05
-434.2,-7.77
-438.3,-8.44
-436.1,-8.08
-435.3,-7.95
-439.6,-8.66
-440.7,-8.84
-438.9,-8.54
-436.7,-8.17
-429.6,-7.00
-427.3,-6.63
-435.1,-7.91
-434.9,-7.88
-435,-7.89
-427.3,-6.62
-434.4,-7.79
-428.6,-6.84
-435.1,-7.91
-428.6,-6.84
-436.5,-8.14
-428.7,-6.85
-430.7,-7.18
-423.8,-6.04
-424.6,-6.18
-425.2,-6.27
-418.3,-5.14
-426,-6.41
-418.8,-5.22
-415.4,-4.66
-424.5,-6.16
-430.6,-7.17
-431,-7.23
-434.8,-7.86
-423.4,-5.98
-420.5,-5.50
-430.4,-7.13
-431.1,-7.25
