 Gasage  (yr  BP)   , CO2  (ppmv) , Location 
 4205.842363636364 , 271.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4275.076666666667 , 272.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4342.822424242424 , 271.5 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4494.362424242425 , 271.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4592.819272727273 , 269.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4647.462909090909 , 269.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4773.001515151515 , 271.5 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4921.201818181818 , 270.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 4981.579878787878 , 269.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5086.789939393939 , 268.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5218.5661818181825 , 269.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5311.175757575757 , 267.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5357.548545454545 , 265.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5533.289575757576 , 265.2 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5581.297333333333 , 267.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5757.606363636363 , 265.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5852.259636363636 , 265.5 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5934.091454545454 , 260.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 5999.3760606060605 , 266.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6089.807878787879 , 265.5 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6301.963333333333 , 263.2 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6337.206909090909 , 262.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6401.244848484847 , 261.2 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6572.291575757575 , 261.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6682.545393939393 , 259.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6769.652545454545 , 262.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6880.308666666668 , 262.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 6970.077393939396 , 258.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7038.269878787879 , 257.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7188.070303030302 , 262.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7274.009999999999 , 263.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7405.323818181818 , 260.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7497.865393939395 , 258.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7661.3663636363635 , 260.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7719.5915151515155 , 260.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7860.1816363636335 , 259.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7926.3653939393935 , 259.2 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 7975.853939393939 , 260.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8116.284242424243 , 259.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
